Paper ID,Key,Query ID,Database,Paper Title,Source / DOI,Abstract Reviewed,Full Text Reviewed,Included,Exclusion Reason,Category
P1,iguodala2025ai,1,Google Scholar,AI-Powered Anti-Money Laundering (AML) and fraud detection - enhancing financial security through intelligent fraud detection,https://www.researchgate.net/profile/Osarense-Iguodala/publication/392235964_AI-Powered_Anti-Money_Laundering_AML_and_fraud_detection_-_enhancing_financial_security_through_intelligent_fraud_detection/links/68810a9696f3c0122ef32b25/AI-Powered-Anti-Money-Laundering-AML-and-fraud-detection-enhancing-financial-security-through-intelligent-fraud-detection.pdf,TRUE,,TRUE,,AML + ML
P2,oyedokun2024comprehensive,1,Google Scholar,A comprehensive review of machine learning applications in AML transaction monitoring,https://www.researchgate.net/profile/Oyewale-Oyedokun/publication/388277251_A_Comprehensive_Review_of_Machine_Learning_Applications_in_AML_Transaction_Monitoring/links/679146d998c4e967fa771aef/A-Comprehensive-Review-of-Machine-Learning-Applications-in-AML-Transaction-Monitoring.pdf,TRUE,,TRUE,,AML + ML
P3,,1,Google Scholar,Applying supervised machine learning algorithms for fraud detection in anti-money laundering,https://works.hcommons.org/records/gd74r-k3t71/files/supervised-machine-learning-algorithms-for-fraud-detection.pdf,TRUE,,,Redundant,AML + ML
P4,bi2024machine,1,Google Scholar,Machine learning-based pattern recognition for anti-money laundering in banking systems,https://scipublication.com/index.php/JACS/article/view/98,TRUE,,TRUE,,AML + ML
P5,yang2023anti,1,Google Scholar,Anti-money laundering supervision by intelligent algorithm,https://www.sciencedirect.com/science/article/pii/S0167404823002547,TRUE,,TRUE,,AML + ML
P6,,1,Scopus,Residual disease in NPM1-mutated acute myeloid leukemia,https://www.scopus.com/pages/publications/105015047345?origin=resultslist,TRUE,,,Out of scope,
P7,,1,Scopus,MuleTrack: A Lightweight Temporal Learning Framework for Money Mule Detection in Digital Payments,https://www.scopus.com/pages/publications/105019645850?origin=resultslist,TRUE,,FALSE,Out of scope,AML + ML
P8,,1,Scopus,"International Conference on Data Management, Analytics, and Innovation, ICDMAI 2025",https://www.scopus.com/pages/publications/105020177819?origin=resultslist,TRUE,,,Out of scope,
P9,,1,Scopus,Vulnerabilities in Machine Learning for cybersecurity: Current trends and future research directions,https://www.scopus.com/pages/publications/105021250721?origin=resultslist,TRUE,,,Out of scope,
P10,,1,Scopus,A Review of Hybrid Defences for IoT: Rule-Based Systems and GANs,https://www.scopus.com/pages/publications/105020200581?origin=resultslist,TRUE,,,Out of scope,
P11,gerlings2022machinelearningtransactionmonitoring,2,Google Scholar,Machine learning in transaction monitoring: The prospect of xai,https://arxiv.org/abs/2210.07648,TRUE,,TRUE,,AML + XAI
P12,,2,Google Scholar,Deep Neural Networks for Anti Money Laundering Using Explainable Artificial Intelligence,https://ieeexplore.ieee.org/abstract/document/10705194,,,,No full text,
